term,cemale,cefemale,csmale,csfemale
1058,155,9,169,24
1061,130,6,151,25
1068,142,10,178,21
1071,119,6,158,16
1078,122,7,149,13
1081,98,7,138,13
1088,117,7,169,9
1091,104,8,140,11
1098,132,13,174,20
1101,122,11,144,15
1111,139,11,163,17
1118,159,6,188,20
1121,151,5,179,25
1128,156,10,232,22
1131,145,12,218,20
1138,157,17,246,22
1141,141,14,235,21
1148,198,16,323,31
1151,181,17,309,36
1158,186,18,377,54
